epoch,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_loss,val_loss_classifier,val_loss_box_reg,val_loss_objectness,val_loss_rpn_box_reg,mAP_50_95,AP50,AP75,AR_max100,mean_precision_iou50,num_detections,num_gt_boxes,lr,epoch_time_sec
1,0.4752031064695782,0.2114516481315648,0.17776433449100565,0.06393283680840223,0.022054286037261287,0.4524352486928304,0.18637835909922917,0.17558230504393577,0.06544782449801763,0.025026761920501787,0.22721935616090075,0.4618721505559847,0.18527047039666003,0.41550003494054794,0.40999748606458575,11053,1040,8.416000000000001e-05,393.5
2,0.47397946064118984,0.2111166853485284,0.17687990906061948,0.06374909207017886,0.022233774077009272,0.4491013195117315,0.18671806265910468,0.1773689400156339,0.060131148273746174,0.024883170950536927,0.23762523159428,0.47215276669637096,0.20442802956545786,0.4299858412597386,0.41046788395786044,10786,1040,8.416000000000001e-05,381.86
3,0.4755732051531474,0.21216836469040976,0.17903269911253894,0.06289508425527149,0.02147705679897357,0.4568553932507833,0.1910413564244906,0.17487791707118353,0.0654877004524072,0.025448419271657863,0.22010424373188006,0.4478303567470147,0.19133415859669808,0.4069301946989744,0.3887587779758012,10757,1040,8.416000000000001e-05,380.73
4,0.47196530604804005,0.2113442560588872,0.1773595339777293,0.061384014627309864,0.021877500917417584,0.4601770124832789,0.19247603992621104,0.17924167235692343,0.06310317672789097,0.025356122315861283,0.2370637846025703,0.4623768828380122,0.205057919887084,0.42415198975119156,0.40103747928883143,11271,1040,8.416000000000001e-05,383.6
5,0.47021509525683935,0.20894005184976566,0.17765774165531648,0.061845283390876755,0.021772017720423482,0.44109321117401123,0.17933658758799234,0.17164116566379864,0.06527166446050008,0.024843795720177392,0.2415513161700055,0.48035720782912933,0.20600030167002512,0.4333974430935462,0.4292736711661421,11449,1040,8.416000000000001e-05,381.44
6,0.4635450618689775,0.20586030485898876,0.17482481363508573,0.06069969524040774,0.02216024717588243,0.44664043446381885,0.18538691148161887,0.17524486511945725,0.060596796497702596,0.025411861119791865,0.24348063649903776,0.4749359598351483,0.22872839092101474,0.4309261224109952,0.4244313678604339,10804,1040,8.416000000000001e-05,377.26
7,0.4690178347296185,0.20803603806981333,0.17820941190476772,0.06035489339657404,0.02241749084589106,0.4408160654703776,0.18188352644443512,0.1729755997657776,0.06068429827690124,0.02527264062160005,0.23977850789641206,0.47946588435110926,0.20233335382966386,0.4228600278733288,0.4335152851889634,9686,1040,8.416000000000001e-05,381.64
8,0.4631068326808788,0.20595812554712647,0.17591685193556325,0.0598168604200085,0.021414995082412604,0.4384011342128118,0.179482065786918,0.17277835885683696,0.06110444319744905,0.025036267172545194,0.2359123642082281,0.48108101781810303,0.21401456588838766,0.4206084957474055,0.43789480841674455,10771,1040,8.416000000000001e-05,379.97
9,0.465283133453793,0.20764915670509693,0.17817704440818893,0.05817601636052132,0.021280915582966475,0.4449996908505758,0.18197746078173319,0.17646730368336042,0.06132413124044736,0.025230793554025393,0.2376022804880467,0.4912790357474124,0.20033279150065167,0.41009763464175564,0.4279262172207431,10623,1040,8.416000000000001e-05,381.2
10,0.46055452432897354,0.2037963609121464,0.1752255946121834,0.05977478543158483,0.02175778204989102,0.4463240460554759,0.1828877435127894,0.17508502319455146,0.06300953753292561,0.025341745649153986,0.24067509659683334,0.4834756723079748,0.21863108471415724,0.41738998637585734,0.44244714327775153,10007,1040,8.416e-06,379.16
11,0.45968895737771637,0.2029922662951328,0.17714183498311925,0.05811814050086671,0.02143671571932457,0.44051090280214944,0.18094285597403845,0.17396904304623603,0.06084456630051136,0.02475443546815465,0.24460923811827245,0.48783234249761703,0.22833856336484684,0.42361781597053494,0.4251378739057023,10171,1040,8.416e-06,377.47
12,0.45776738586783056,0.20288812397849312,0.1777559657545224,0.056669093870201345,0.02045420196563011,0.44079555650552116,0.18079836100339888,0.17503281046946845,0.060003206692636014,0.024961181624482076,0.25098243951804405,0.5024478316716079,0.21751181338627,0.42388271439734776,0.4324751950480871,10024,1040,8.416e-06,381.47
13,0.4598245591544256,0.20379857724471687,0.17775209857709154,0.05668238774757246,0.021591495625116485,0.4327490266164144,0.176715047955513,0.1715032711625099,0.0595347940052549,0.024995912751182913,0.24724583135774095,0.49003796576734315,0.23504302310407985,0.43124140655830984,0.4248052777296779,10244,1040,8.416e-06,383.71
14,0.4562465697748017,0.20237860191911902,0.17689328110646954,0.05620393794975091,0.020770749313485992,0.4355054066578547,0.17734179705381392,0.17364387353261312,0.0596440896516045,0.02487564446715017,0.2575266787901945,0.5016321236748775,0.2308712130496484,0.4406660893253006,0.4507071373144903,10462,1040,8.416e-06,384.69
15,0.4572276561921711,0.20237104415628251,0.17658414689752133,0.057748581000910494,0.020523883853845563,0.4378206956386566,0.17795933574438094,0.17470471322536468,0.06028110677997271,0.024875542037189006,0.24961296890655074,0.49259469277334955,0.223868911721023,0.426834193129203,0.44365580122770104,10571,1040,8.416e-06,379.18
