epoch,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_loss,val_loss_classifier,val_loss_box_reg,val_loss_objectness,val_loss_rpn_box_reg,mAP_50_95,AP50,AP75,AR_max100,mean_precision_iou50,num_detections,num_gt_boxes,lr,epoch_time_sec
1,0.5091402381658554,0.22645874342432729,0.17747379333332733,0.08187460768760907,0.023333094350786673,0.44243095596631365,0.17539399703343708,0.17656881873806318,0.0656300950795412,0.024838044124965868,0.24233213131049203,0.47763257222158956,0.21323856249050005,0.4415051886299483,0.4304650663241972,11543,1040,0.0001,376.79
2,0.4895827428526467,0.21985350433914436,0.17724322054779068,0.06973772752237328,0.02274829043658212,0.45029400845368706,0.18453346828619638,0.1796583173672358,0.06128781100114187,0.024814409355943402,0.23815647238274348,0.471777294622359,0.20396914181127393,0.43531872766473123,0.4217076110319277,10992,1040,0.0001,370.28
3,0.4807605617202232,0.21491773757546653,0.1770960126033421,0.06752620075440469,0.021220611336393306,0.447192692955335,0.18473361025253932,0.1782318350672722,0.059385625372330345,0.024841622229044635,0.2328136007397107,0.4694324676438372,0.19799429083733155,0.4183499198742003,0.402960513563316,10857,1040,0.0001,371.31
4,0.48569735110867274,0.21528157617244592,0.1777201732703504,0.06912121950035213,0.02357438205601786,0.44625149309635165,0.18216496815284094,0.1784920012454192,0.060643582890431084,0.024950937029595176,0.24360552780288908,0.4805775392586771,0.20981071047576014,0.4278761364406397,0.4324521305483675,10989,1040,0.0001,369.39
5,0.47570255297050984,0.20983336815052286,0.17631884885382582,0.06668730666695125,0.02286303090277053,0.44952721734841666,0.18537685692310332,0.17686673094828922,0.061999039947986605,0.025284587312489747,0.24009871571629687,0.47022290974411657,0.22133752915578656,0.4288029043326699,0.4259942293071702,11028,1040,0.0001,368.02
6,0.47811453778418306,0.2125426110443977,0.17882012700225372,0.06464004133501883,0.02211175748604441,0.45029701113700865,0.1864688209692637,0.17896843194961548,0.05965667878588041,0.025203079000736275,0.23428361553417107,0.4630344566740139,0.21530144529992712,0.4226698936504004,0.403133773325298,10157,1040,0.0001,368.86
7,0.46889816841403525,0.2100201209548319,0.17670693044006294,0.06096781272156501,0.02120330292649998,0.457974223891894,0.19208529084920883,0.17499482582012812,0.06466990893085797,0.02622419942325602,0.21014016231276322,0.4251840944903823,0.18429953365990595,0.396794005314273,0.3854015717139769,11182,1040,0.0001,368.18
8,0.46453209181567684,0.20816104804947752,0.1760402474143385,0.05960959254332904,0.020721203483121595,0.4424024446805318,0.183932027866443,0.17204661895831427,0.06122700775663058,0.025196792675803104,0.23427760533754977,0.46431260717980827,0.2088624878633451,0.41900195801446255,0.42248138135760244,10275,1040,0.0001,386.12
9,0.47064588959557163,0.209665748142647,0.17940002104702002,0.05986544916290031,0.02171467132361282,0.4491851464907328,0.18566299428542454,0.17909386600057284,0.05916555737455686,0.025262730326503516,0.24189440008939717,0.49452747274175823,0.20486308621286076,0.4214035580348942,0.4473865457067008,10534,1040,0.0001,393.68
10,0.46954639939154647,0.2067726161275667,0.17774507195000655,0.062467711110591045,0.02256099952751693,0.44284027377764384,0.183155909627676,0.17647659460703533,0.05761036665489276,0.025597403664141892,0.23328746924861946,0.4802927513330516,0.19802609654117714,0.42006203032802303,0.41676776116422276,9371,1040,1e-05,454.79
11,0.4668066103663572,0.20754120969807713,0.17838065033828293,0.060264187694308885,0.02062056344714104,0.4410059458017349,0.18102477883299192,0.17302768742044766,0.061265220940113066,0.02568825492169708,0.24014133118541756,0.4919163738454483,0.21073806489505043,0.419637999250769,0.4421022841201581,10918,1040,1e-05,373.52
12,0.4632897201914462,0.2066083722236602,0.17616134405534062,0.059395922530298774,0.02112408217891791,0.4408384505907694,0.18144668519496918,0.17410024578372638,0.060140956367055576,0.02515056316740811,0.2402399694122743,0.4804821531584423,0.2088138244665651,0.4231768444829512,0.42217061787646326,10463,1040,1e-05,371.07
13,0.4647669196128845,0.20734105727738805,0.17748570566927946,0.05882723067576687,0.02111292660633033,0.4433037296930949,0.1829904301961263,0.17446156104405722,0.06022517507274946,0.025626562886560955,0.23924239763703442,0.4751654582259561,0.20944184067849406,0.4233987170535652,0.4248956329849478,10233,1040,1e-05,369.61
14,0.46692600468794504,0.21028856695802123,0.17747012572707954,0.05856696195348545,0.020600349575419116,0.45116166830062865,0.18709527750809987,0.17738998884956042,0.061392102167010305,0.025284302794995408,0.234977520931695,0.47415643895316456,0.20935291280876314,0.41578744059224537,0.41105852977265045,10794,1040,1e-05,365.89
15,0.4641254553309193,0.20745522327997065,0.17784448885807286,0.0574567068554461,0.021369037517794856,0.4460108431180318,0.183829951385657,0.17639580552776654,0.06042588271200657,0.02535920832771808,0.23513622054377184,0.469138107895623,0.21529992552236668,0.4194142660977668,0.4104140697965736,10832,1040,1e-05,367.6
