epoch,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_loss,val_loss_classifier,val_loss_box_reg,val_loss_objectness,val_loss_rpn_box_reg,mAP_50_95,AP50,AP75,AR_max100,mean_precision_iou50,num_detections,num_gt_boxes,lr,epoch_time_sec
1,0.4159045872423384,0.10599994166857667,0.02800694972951061,0.2441731539534198,0.03772454149408818,0.44376343737045926,0.11754281394183635,0.03516780202848167,0.24773806606729826,0.04331475727880994,0.0,0.0,0.0,0.0,0.0,0,1040,0.001,535.1
2,0.410309578080972,0.10226539471635113,0.026465733546387028,0.24411431191696062,0.0374641381172653,0.4816749676068624,0.1443450140953064,0.04526098248303848,0.24894784326354663,0.04312112893210724,0.0,0.0,0.0,0.0,0.0,0,1040,0.001,548.23
3,0.41952354494620253,0.10854418524299507,0.029773617534128452,0.24371119232641325,0.03749454893163164,0.42747119347254436,0.10863245901962121,0.028282740919385107,0.2479288436472416,0.04262714894876505,0.0,0.0,0.0,0.0,0.0,0,1040,0.001,532.9
4,0.42071031845830104,0.11047113688317714,0.03099946248505148,0.2421466590795252,0.03709306055955865,0.4403524348139763,0.11622456517070531,0.03462433582431307,0.247240772296985,0.04226276012137532,0.0,0.0,0.0,0.0,0.0,0,1040,0.001,535.96
5,0.45059755907014565,0.1319924360541282,0.04324436574024056,0.23864231926975427,0.03671843820432615,0.43531005918979643,0.11587567665924628,0.03484373447976395,0.24183032656709352,0.04276032239043464,0.0,0.0,0.0,0.0,0.0,0,1040,0.001,539.84
6,0.5078790157591855,0.17746828046661836,0.07350145039454488,0.2205769191130444,0.03633236638740291,0.5420050723354022,0.18993711970746519,0.07685668163457497,0.23227840860684712,0.042932863767879706,0.0,0.0,0.0,0.0,0.0,0,1040,0.001,534.11
7,0.583519779211945,0.2507430575042963,0.13538215229525963,0.1641120590918042,0.03328250992241212,0.5893539995948474,0.246987106030186,0.13443174230691513,0.16915701394279797,0.03877813716729482,0.00594762086217289,0.016916242599071686,0.0011090840933675333,0.032892916987433664,0.00971755524948769,1420,1040,0.001,535.49
8,0.599901947732325,0.27272976334034293,0.16222365742967532,0.13406399443469666,0.03088453213723066,0.6253841249148051,0.2794794668753942,0.16372668558731676,0.14598796072105566,0.03619001112257441,0.012373269603289673,0.03148039995046732,0.007881047297966865,0.09818534844158881,0.0211381248642811,8361,1040,0.001,542.1
