epoch,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_loss,val_loss_classifier,val_loss_box_reg,val_loss_objectness,val_loss_rpn_box_reg,mAP_50_95,AP50,AP75,AR_max100,mean_precision_iou50,num_detections,num_gt_boxes,lr,epoch_time_sec
1,0.5881934587271125,0.2747134381615453,0.1713339467678883,0.11349050717014406,0.02865556647393128,0.6028396959106127,0.2741472271581491,0.16267763023575146,0.13086550310254097,0.03514933399002378,0.019477182182247,0.053155245958951346,0.009452898538492847,0.12910528690780265,0.03813091850802695,6817,1040,0.001,5998.08
2,0.5636444819746194,0.2694529939525657,0.16757686455751322,0.09976187562914911,0.026852747265258114,0.5865646004676819,0.270337901810805,0.16330395843833684,0.11917528562247753,0.03374745345907286,0.047998551969690446,0.10252960497564714,0.035896581931909734,0.1890389179269327,0.08046836951310836,7245,1040,0.001,5960.15
3,0.5444339897014476,0.2611474193853361,0.167583118945067,0.0898951060011017,0.025808346038598017,0.5279247181614241,0.2294025597969691,0.14825943279390533,0.1178597471366326,0.03240297877850632,0.07909830941765847,0.16741087577107833,0.057627475329001365,0.25659465733880127,0.13564233944655849,9141,1040,0.001,6090.04
4,0.5151702130282366,0.24474000331428317,0.1681717314642716,0.07805729391018826,0.02420118459207178,0.5460549652576446,0.2520422522723675,0.17281334673364956,0.09188911714280645,0.02931025336108481,0.11699947248148379,0.23193083913386414,0.09497779754083868,0.3104553190944667,0.19315342235554644,8236,1040,0.001,3984.11
5,0.49498665854886725,0.23269301675536014,0.15891077610284643,0.0792231662136813,0.024159698806944546,0.5489164692163467,0.2509246096511682,0.1795404006789128,0.08802978632040322,0.030421672329151384,0.10643288390689032,0.22883725199457272,0.08190844432077975,0.31463985784460796,0.18798752844766106,10088,1040,0.001,364.61
6,0.4726304471106441,0.22087730992723395,0.16403463339640034,0.06517758482756714,0.022540918485244255,0.496162463525931,0.22453201567133269,0.16541141651570798,0.07697768916996817,0.029241341075394302,0.13988322294616246,0.28076782254570865,0.12108827269695555,0.3536409080761876,0.23248262250236038,12486,1040,0.001,360.25
7,0.4466592201535349,0.20593141282598176,0.16133987055746493,0.05782974632474146,0.021558190489110226,0.4816915946205457,0.20956700784464677,0.17039724505196016,0.07349970907904207,0.028227635035291312,0.16369818957271012,0.3246394407456717,0.1592985691167558,0.37214047810476547,0.28961289598875817,12010,1040,0.001,362.05
8,0.4292285369667742,0.1942938828633891,0.1616602569297646,0.052817551166302074,0.020456846213632227,0.479576767484347,0.21140490812559923,0.16882940786580244,0.07260818103638789,0.026734273162825655,0.17881463333419087,0.34608905232253373,0.16829526811532705,0.4050835409526834,0.3043398553587402,13171,1040,0.001,358.71
9,0.41603130926688514,0.185902068639795,0.1617458281086551,0.04828274322458095,0.02010066958118437,0.5051143747071425,0.2187626302242279,0.17742336109280588,0.08111969943468769,0.02780868418669949,0.17492931439638731,0.34856426080900677,0.1496627906500869,0.3890095991447544,0.312904318488724,8704,1040,0.001,361.32
10,0.3929065952863958,0.17138755751290807,0.15901927900673063,0.04349012357544982,0.019009635205837656,0.4534155861039956,0.19228406647841137,0.17588330688575904,0.05946556591273596,0.025782648742509386,0.21220398296556336,0.4202694775090601,0.18540434968575162,0.4192152030862068,0.3712375806560434,9634,1040,0.0001,358.76
